,Character,Song,Artist,BPM,Chart Page,Chart Page.1,Chart Page.2,Chart Page.3,Chart Page.4,Unnamed: 9
251,Graff.J,Spring,"Rave Cyanide, RiraN",132,4,8,13,,,
252,Graff.J,dynamo,Hidra-Xjeil,160,4,8,14,,,
253,Graff.J,Hello Days,tomo & ino(cronoize),138,2,7,12,,,
254,Graff.J,Interstellar Experience,polysha + daph,180,4,8,14,,,
255,Graff.J,FUSE,Titancube,190,3,8,14,,,
256,Graff.J,Gigantic Saga,Paul Bazooka,128,3,6,12,,,
257,Graff.J,popotnik ~ The Traveller of Ljubljana,LhoU,130,5,7,12,,,
258,Graff.J,Ascension to Heaven,xi,190-200,3,8,14,,,
259,Graff.J,Lifill,Feryquitous Feat Sennzai,185,2,7,12,,,
260,Graff.J,そんなに私を期待きせないで,上村叶恵,160,3,7,11,,,
261,Graff.J,Fading Star,ginkiha,140,3,7,11,,,
262,Graff.J,Magical Toy Box,Shiron + xi,184,5,9,15,,,
263,Graff.J,Until the Blue Moon Rises,Plutian,138,3,6,12,,,
264,Graff.J,Lights of Muse,Ayatsugu_Otowa,180,4,8,14,,,
265,Graff.J,Stargazer,a_hisa,150,1,6,10,,,
266,Graff.J,Blackest Luxury Car,Chicala Lpis,178,3,7,12,,,
267,Graff.J,粉骨砕身カジノゥ,モリモリあつし,132-198,5,10,14,,,
268,Graff.J,時計の部屋と精神世界,a_hisa,180,4,9,14,,,
269,Graff.J,XING,ginkiha,177,5,8,13,,,
270,Graff.J,Brave My Heart,uma feat.ましろ,165,4,7,12,,,
271,Graff.J,Final Step!,Lime,180,4,7,13,,,
272,Graff.J,Medusa,HiTECH NINJA,165,4,8,14,,,
273,Graff.J,XODUS,DJ Myosuke & Gram,202,6,10,15,,,
274,Graff.J,The 89's Momentum,MYUKKE.,128,3,7,13,,,
275,Graff.J,The 90's Decision,MYUKKE.,128,5,8,14,,,
276,Graff.J,双龍飛閃-Dual Dragoon-,Daisuke Ohnuma,212,5,9,15,,,
277,Graff.J,Like Asian Spirit,Valunava,143,4,7,14,,,
278,Graff.J,Tsukiyura,mitssi,145,3,8,14,,,
279,Graff.J,BREAK FREE,Tsuko G.,200,5,10,14,,,
280,Graff.J,DON'T LISTEN TO THIS WHILE DRIVING,Tsuko G.,160,4,8,14,,,
281,Graff.J,RESET MAN,Tsuko G.,150,4,7,12,,,
282,Graff.J,PERSONA,Tsuko G.,128,3,6,11,,,
283,Graff.J,OUT OF THE MATRIX,Tsuko G.,180,4,8,13,,,
284,Graff.J,Kokoro Odoro,Tomggg (feat. m/lue.),195,4,7,13,,12,
285,Graff.J,"Dandelion Girs, Dandelion Boys",Mili,166,4,7,12,,12,
286,Graff.J,Amiya,Boiling Blood,Jason Walsh,163,5,8,14.0,,
287,Graff.J,Amiya,Operation Pyrite,Jason Walsh,132,5,8,13.0,,
288,Graff.J,Amiya,Keep the torch,Obadiah Brown-Beach,125,2,6,12.0,,
289,Graff.J,Amiya,ALIVE,Obadiah Brown-Beach,125,4,9,14.0,,
290,Graff.J,Amiya,Operation Blade,Obadiah Brown-Beach,125,4,7,12.0,,
291,Graff.J,Amiya,Evolutionary Mechanization,Obadiah Brown-Beach,120,4,7,13.0,,
292,Graff.J,Amiya,El Brillo Solatario,Steven Grove,200,4,7,13.0,,
293,Graff.J,Amiya,ManiFesto,David Wesbom,155,3,7,12.0,,
294,Graff.J,Amiya,Speed of Light,DJ Okawari,112,4,6,11.0,,
295,Graff.J,Amiya,Renegade,Jason Walsh,154,3,7,12.0,,
296,Graff.J,Kaf,心臟と絡繰,花譜,170,4,7,11.0,,
297,Graff.J,Kaf,メルの黃昏,花譜,200,4,9,13.0,,
298,Graff.J,Kaf,夜行バスにて,花譜,174,3,6,12.0,,
299,Graff.J,Kaf,未確認少女進行形,花譜,180,3,7,12.0,,
300,Graff.J,Kaf,糸,花譜,194,5,7,13.0,,
301,Graff.J,Kaf,帰り路,花譜,180,4,7,12.0,,
302,Graff.J,Kaf,過去を喰らう,花譜,187,3,8,11.0,,
303,Graff.J,Kaf,雛鳥,花譜,85,2,5,10.0,,
304,Graff.J,Kaf,そして花になる,花譜,93,2,5,9.0,,
305,Graff.J,Kaf,不可解（Cytus II Edit.）,花譜,134,3,7,12.0,,
306,Graff.J,Alice,Friction,HAMO from Mili,130,3,7,12.0,,11.0
307,Graff.J,Alice,Legacy,switchworks,120,2,5,9.0,,9.0
308,Graff.J,Alice,Living In The One,Edmund Fu,30-140,3,7,10.0,,10.0
309,Graff.J,Alice,YUBIKIRI-GENMAN,Mili,31-146,2,6,9.0,,10.0
310,Graff.J,Alice,I hate to tell you,Yuk-cheung Chun,120,3,8,12.0,,11.0
311,Graff.J,Alice,Utopiosphere,Mili,176,3,7,11.0,,11.0
312,Graff.J,Alice,Marigold,M2U,160,4,9,15.0,,15.0
313,Graff.J,Alice,The Beautiful Moonlight,Mai Aoyagi,33.7-74,2,7,10.0,,9.0
314,Graff.J,Alice,都市の呼吸,technoplanet feat. 岡聡志,120,3,7,13.0,,13.0
315,Graff.J,Alice,To next page,kamome sano,176,3,8,12.0,,12.0
316,Graff.J,Alice,ANiMA,xi,183.5,5,10,15.0,,15.0
317,Graff.J,Hans,Sunset,Alex Vourtsanis,180,3,6,11.0,,11.0
318,Graff.J,Hans,Ephemeral,Mili,162,3,7,12.0,,12.0
319,Graff.J,Hans,Ruins in the Mirage,SIHanatsuka & Yukino,29-124,2,6,10.0,,9.0
320,Graff.J,Hans,Run Go Run,Kaeru Underground,138-180,3,7,12.0,,12.0
321,Graff.J,Hans,Platinum,Sta,100,2,5,9.0,,8.0
322,Graff.J,Hans,Leviathan,NeLiME,36-185,4,9,13.0,,13.0
323,Graff.J,Hans,Lost in the Nowhere,Rave Cyanide × Lunatic Sounds,160,3,8,14.0,,12.0
324,Graff.J,Hans,Dream,Rabpit,150,2,6,11.0,,8.0
325,Graff.J,Hans,Path and Period,Jun Kuroda,175,5,8,13.0,,13.0
326,Graff.J,Hans,Aragami,xi,48-196,5,9,14.0,,14.0
327,Rhuzerv,Hans,Feryquitous feat.Sennzai,191,5,8,15,,14,
328,Kizuna AI,AIAIAI (feat. 中田ヤスタカ),Kizuna AI,128,5,8,12,,,
329,Kizuna AI,"Hello, Morning (Prod. Nor)",Kizuna AI,160,4,7,13,,,
330,Kizuna AI,future base (Prod. Yunomi),Kizuna AI,174,3,6,12,,,
331,Kizuna AI,new world (Prod. Yunomi),Kizuna AI,160,4,7,11,,,
332,Kizuna AI,miracle step (Prod. Nor),Kizuna AI,110,3,5,11,,,
333,Kizuna AI,meet you (Prod. DÉ DÉ MOUSE),Kizuna AI,128,3,5,12,,,
334,Kizuna AI,mirai (Prod. ☆Taku Takahashi),Kizuna AI,174,2,6,9,,,
335,Kizuna AI,over the reality (Prod. Avec Avec),Kizuna AI,110,4,7,13,,,
336,Kizuna AI,melty world (Prod. TeddyLoid),Kizuna AI,128,4,8,13,,,
337,Kizuna AI,"hello, alone (Prod. MATZ)",Kizuna AI,130,3,6,10,,,
338,Miku,Blue Star,八王子P,132,3,6,11,,,
339,Miku,BREAK IT,雄之助,138,4,8,13,,,
340,Miku,Can't Make a Song!!,beat_shobon,100-165,4,7,12,,,
341,Miku,Miku,Anamanaguchi,128,3,6,10,,,
342,Miku,Sharing The World,BIGHEAD,129,3,6,10,,,
343,Miku,Venus di Ujung Jari,mohax (VOCALO.ID),120.5,1,5,8,,,
344,Miku,ラッキー☆オーブ,emon(Tes.),126,4,7,11,,,
345,Miku,魔法みたいなミュージック！,OSTER project,210,3,7,13,,,
346,Miku,月西江,solpie,70,2,5,8,,,
347,Miku,Ten Thousand Stars,CircusP,128,4,6,12,,,
348,Miku,Glass Wall,GuitarHeroPianoZero,140,2,6,11,,,
349,Miku,Cybernetic,雄之助 × Circus-P,132,3,7,13,,,
350,Miku,Decade,Dixie Flatline,127,3,6,9,,,
351,Miku,ラッキー☆オーブ (3R2 Remix),emon(Tes.),130,4,7,11,,,
352,Ilka,Silver Lotus,satella,188,3,6,11,,,
353,Ilka,3G0,Katali,174,5,7,12,,,
354,Ilka,Rebellion Trigger,xi,212,6,9,15,,,
355,Ilka,Alb,Avans,140,2,8,14,14.0,,
356,Ilka,CODE:RED,Powerless,220,5,9,14,15.0,,
357,Ilka,Levolution,MIDInco,175,3,7,13,,,
